id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors,id_dup,name_dup
2022792,Artemis,"Artemis | Market Leading CMP for Enterprise Greenhouses, Indoor & High Tunnel Farms",Legal,,2,"Brooklyn, NY, United States",,,11201,United States,Brooklyn,compliance,,True
1334604,Artemis,Virtual agronomist platform that helps indoor farmers to manage their crops based on sensor data,,Food,2,"United States, New York",,,10007,United States,New York,"agritech,Farming,sensor,Farming,platform,SaaS",,True
1519312,Artesis Hogeschool Antwerpen,School in antwort,,,2,"Lange Nieuwstraat, Antwerp, Belgium",Lange Nieuwstraat,,,Belgium,Antwerp,,,True
936038,Artesis Hogeschool Antwerpen,"AP is een hogeschool met zo'n 12.000 studenten, 24 professionele bachelor- en 8 artistieke opleidingen, verdeeld over 4 departementen en 2 Schools of Arts",,,8,"10, Jaak de Boeckstraat, 2170 Antwerp, Belgium",Jaak de Boeckstraat,10,2170,Belgium,Antwerp,,,True
35151,Artoo,Financial CRM software for companies,Marketing,Enterprise Software,2,"India, Bengaluru, 37th B Cross Road",37th B Cross Road,,560041,India,Bengaluru,"Lead Generation,CRM,Customer Service,Predictive Analytics,Analytics",,True
1465009,Artoo,Lenders targeting the underserved are unable to achieve optimum productivity because of paper and excel based processes that are carried out by semi-literate field agents,Fintech,Enterprise Software,2,"India, Bengaluru",,,560002,India,Bengaluru,Mortgages & Lending,,True
1420612,Asaak,Finance for the mobile generation,Fintech,,2,"United States, San Francisco",,,,United States,San Francisco,community,,True
2032803,Asaak,Asaak,Fintech,,2,"570 Beale St, San Francisco, CA 94105, USA",Beale Street,570,94105,United States,San Francisco,,,True
141021,Ascots of London,Londons first disruptive collection/delivery online dry cleaning & laundry service. Revolutionising the industry one garment at a time!,Wellness Beauty,,2,"United Kingdom, London",,,,United Kingdom,London,"cleaning,laundry,wellness / beauty",,True
1467486,Ascots of London,Laundry & Dry Cleaning for Business in London,Home Living,,2,"United Kingdom, London, Marble Arch",Marble Arch,,W1H 7,United Kingdom,London,Consumer Internet,,True
1492766,Aston Business School,School,,,8,"United Kingdom, Birmingham",,,B3 3,United Kingdom,Birmingham,,,True
1713010,Aston Business School,School,,,4,"United Kingdom, Birmingham",,,B3 3,United Kingdom,Birmingham,,,True
1532732,Athlone Institute of Technology,"Higher learning academic institute providing courses on business, humanities, engineering and science",Health,,2,"Dublin Rd, Bunnavally, Athlone, Co. Westmeath, Ireland",Dublin Road,,,Ireland,Athlone,,,True
935986,Athlone Institute of Technology,"AIT is home to 6,000 students from Ireland and around the globe. Sunday Times Institute of Technology of the Year 2018. Snapchat & Instagram @athloneit",,,8,"Dublin Rd, Bunnavally, Athlone, Co. Westmeath, Ireland",Dublin Road,,,Ireland,County Westmeath,Student,,True
2033818,Atoms,Most Comfortable Shoes for Everyday Wear | Atoms.com,Fashion,,2,"Brooklyn, NY, United States",,,11201,United States,Brooklyn,Shoes,,True
1357536,Atoms,Sneakers that come in 1/4 sizes,Fashion,,2,"Brooklyn, NY 11205, USA",,,11205,United States,New York,"Shoes,sneakers,direct-to-consumer,Retail",,True
2941475,Augean Robotics,,Robotics,,2,"Philadelphia, PA, United States",,,19107,United States,Philadelphia,,,True
1633835,Augean Robotics,"Solving the farm labor problem by making Wall-E a reality, beginning with Burro, a following robot that can shuttle material autonomously",Robotics,,2,"United States, Philadelphia",,,19107,United States,Philadelphia,"Farming,agritech,platform",,True
2765925,Aurum Solutions,Aurum Solutions | Reconciliation Software | Aurum Solutions,Enterprise Software,,2,"Reading, England, United Kingdom",,,RG1 4,United Kingdom,Reading,,,True
1504296,Aurum Solutions,Fully tailored data-matching and reconciliation software that efficiently automates complex business processes,Fintech,,2,"United Kingdom, Wokingham",,,RG40 1,United Kingdom,Wokingham,"automated process,Wealth Management,Automated Technology",,True
1459465,Avalon,"The first network of experts in Spanish, a promoter of open innovation and a tool capable of providing companies with the knowledge they need, when they need it and how they need it",Marketing,,15,"Spain, Madrid",,,28013,Spain,Madrid,"Knowledge Management,Business Intelligence",,True
1225697,Avalon,Network Exporters,,,3,"Spain, Madrid",,,,Spain,Madrid,,,True
935550,Avans University of Applied Sciences,The basic principle of Avans University of Applied Sciences is rooted in and springs from its social environment,,,8,"Hogeschoollaan 1, 4818 CR Breda, Netherlands",Hogeschoollaan,1,4818 CR,Netherlands,Breda,,,True
1618007,Avans University of Applied Sciences,School in breda,,,8,"Netherlands, Breda",,,4811,Netherlands,Breda,,,True
1649019,Avison Young,Commercial real estate services firm,Real Estate,,4,"Canada, Toronto",,,M5H,Canada,Toronto,"Mortgages & Lending,outside tech,Retail",,True
932578,Avison Young,Worldwide Home : Global : Avison Young,Real Estate,,3,"Canada, Toronto",,,,Canada,Toronto,Search Engine,,True
984082,Axxess Capital,Axxess Capital is Investment Advisor of private equity funds,,,3,"Romania, Bucharest",,,,Romania,Bucharest,investing,,True
1233165,Axxess Capital,Axxess Capital is Investment Advisor of private equity funds,,,3,"Romania, Bucharest",,,,Romania,Bucharest,,,True
1776436,B+office,,,,14,"Dudenstraße 10, 10965 Berlin, Germany",Dudenstraße,10,,Germany,Berlin,,,True
1448661,B+office,,,,14,"Dudenstraße 10, 10965 Berlin, Germany",Dudenstraße,10,,Germany,Berlin,,,True
1517152,BACHMANN,Home - Bachmann,Semiconductors,,4,"Egermannstraße 7, 53359 Rheinbach, Germany",Egermannstraße,,,Germany,Rheinbach,Publishing,,True
1240836,BACHMANN,"Highly innovative, mid-sized company, that develops, and markets electronic components & systems with a focus on customers",,,3,"Germany, Stuttgart",,,,Germany,Stuttgart,,,True
1457540,BAO Financial Group,Home | BAO,Fintech,,2,"Cyprus, Nicosia",,,1015,Cyprus,Nicosia,,,True
870644,BAO Financial Group,Asset management and capital,,,3,"Switzerland, Montreux",,,,Switzerland,Montreux,,,True
1510776,BPP Law School,"University dedicated to business and professions that specializes in accounting and finance, law, and health",Jobs Recruitment,,2,"United Kingdom, Manchester",,,M3 3,United Kingdom,Manchester,"Accounting,outside tech",,True
1755734,BPP Law School,,,,8,"United Kingdom, London",,,SW1A 2,United Kingdom,London,,,True
